tipo;longitude;latitude;bairro;iptu;preco;condominio;area;quartos;banheiros;suites;vagas;caracteristicas
Apartamento;-46.573272;-23.655761;Rudge Ramos;0;359000;576;54;2;2;1;1;[Varanda,Salao de jogos,SPA,Area de servico]
Apartamento;-46.559323;-23.705139;Centro;76;289900;320;56;2;2;1;1;[Academia,Churrasqueira,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Varanda gourmet]
Apartamento;-46.550959;-23.690139;Centro;300;1200000;950;155;3;4;3;3;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,SPA,Varanda gourmet]
Apartamento;-46.549481;-23.685142;Vila Vivaldi;0;389900;430;80;3;2;1;2;[Academia,Churrasqueira,Playground,Piscina,Salao de jogos,Salao de festas]
Apartamento;-46.542011;-23.687184;Baeta Neves;0;240000;500;55;2;1;0;1;[Academia,Salao de festas]
Apartamento;-46.566637;-23.671353;Jardim Hollywood;0;419041;500;75;3;2;1;2;[Piscina infantil,Piscina adulto,Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Area de servico,Varanda,Varanda gourmet]
Apartamento;-46.560565;-23.735128;Jd N Sra De Fatima;52;225000;463;57;2;1;0;1;[Churrasqueira,Piscina,Area de servico]
Apartamento;-46.562537;-23.664211;Rudge Ramos;0;220000;395;61;2;2;1;1;
Apartamento;-46.552736;-23.688714;Centro;0;530000;400;60;2;1;1;2;
Apartamento;-46.568248;-23.672934;Jardim Paramount;0;363298;0;62;2;2;1;2;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,SPA,Sauna]
Apartamento;-46.557423;-23.723207;Assuncao;65;195000;326;56;2;1;0;1;
Apartamento;-46.580064;-23.646796;Rudge Ramos;0;245655;300;50;2;1;0;1;
Apartamento;-46.551647;-23.688992;Centro;200;894900;850;156;3;5;3;3;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,SPA,Varanda gourmet]
Apartamento;-46.558115;-23.712422;Vila Goncalves;0;370000;560;70;3;2;1;2;
Apartamento;-46.562948;-23.685951;Jardim do Mar;1900;364900;550;61;2;2;1;2;
Apartamento;-46.556987;-23.733927;Jardim Lauro Gomes;250;303000;360;57;2;1;1;1;[Piscina adulto,Academia,Churrasqueira,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos]
Apartamento;-46.550538;-23.710994;Centro;660;277000;669;65;2;2;1;1;[Salao de jogos,Area de servico]
Apartamento;-46.551009;-23.68887;Centro;0;587070;378;94;3;3;1;2;[Piscina infantil,Piscina adulto,Academia,Churrasqueira,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Sauna,SPA,Cinema,Area de servico,Varanda gourmet]
Apartamento;-46.56875;-23.729347;Dos Casa;98;298000;220;50;2;1;0;1;[Academia,Churrasqueira,Cinema,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos]
Apartamento;-46.530803;-23.724305;Santa Terezinha;52;155000;452;50;2;1;;1;[Playground,Salao de festas]
Apartamento;-46.549441;-23.685752;Centro;220;550000;500;94;3;2;1;2;[Varanda,Area de servico,Salao de jogos,Cinema,Piscina infantil,Piscina adulto,Cinema,Quadra poliesportiva,Piscina,Playground,Salao de festas,Academia,Espaco gourmet,Jardim,Churrasqueira]
Apartamento;-46.538084;-23.735605;Ferrazopolis;0;199000;0;49;2;1;0;1;[Piscina adulto,Academia,Churrasqueira,Espaco gourmet,Jardim,Piscina,Playground,Salao de festas,Salao de jogos,Area de servico,Varanda]
Apartamento;-46.563732;-23.717891;Vila Euro;65;215000;378;56;2;1;0;1;[Playground,Salao de festas,Jardim,Area de servico]
Apartamento;-46.534796;-23.724395;Ferrazopolis;426;175000;395;53;2;1;0;1;
Apartamento;-46.533371;-23.721098;Jd Iraja;350;199000;203;54;2;1;0;1;
Apartamento;-46.560354;-23.670172;Rudge Ramos;0;373140;0;63;2;2;2;2;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Playground,Piscina,Quadra poliesportiva,Salao de festas,Salao de jogos]
Apartamento;-46.54835;-23.698501;Baeta Neves;2712;548000;550;93;2;2;1;2;[Academia,Churrasqueira,Espaco gourmet,Piscina,Playground,Salao de jogos,Salao de festas,Varanda gourmet]
Apartamento;-46.592644;-23.654006;Taboao;0;240000;350;55;2;1;0;1;[Quadra poliesportiva,Salao de festas,Playground,Churrasqueira,Varanda gourmet]
Apartamento;-46.554372;-23.71827;Vila Santa Rita de Cassia;0;347371;350;70;3;2;2;2;[Academia,Churrasqueira,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de jogos,Salao de festas,Varanda gourmet]
Apartamento;-46.559895;-23.725867;Vila Jerusalem;400;159000;260;37;1;1;0;1;
Apartamento;-46.552736;-23.688714;Centro;84;395000;409;71;3;2;1;2;[Academia,Churrasqueira,Espaco gourmet,Jardim,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos]
Apartamento;-46.53702;-23.716809;Santa Terezinha;1220;240000;450;64;2;1;0;1;[Salao de festas,Academia]
Apartamento;-46.570024;-23.707679;Planalto;1300;620000;520;90;3;2;1;2;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,Varanda gourmet]
Apartamento;-46.546236;-23.719045;Vila Quirino de Lima;0;275000;235;58;2;1;0;1;
Apartamento;-46.55773;-23.707832;Centro;90;380000;385;68;3;2;1;2;
Apartamento;-46.560543;-23.682397;Vila Dayse;0;590000;600;70;2;1;1;2;[Varanda gourmet,Salao de jogos,Area de servico]
